EmployeeID,Date,Steps,ActiveMinutes,CaloriesBurned,DistanceKm,SleepHours,HydrationLiters,,StreakLength,ChallengesCompleted,BadgesEarned,LeaderboardRank,PointsEarned
9af0c37d-9b37-4cd9-ad93-28b12b0bbbbd,2025-02-23T07:22:10.608Z,2961,103,502,7.826496767,4.477311289,2.070929633,,19,2,10,17,478
94bd10fb-7af8-4c60-bdbc-5428697f91e2,2025-04-10T09:24:12.671Z,15655,158,557,10.23889558,8.827921824,0.507150122,,23,1,6,41,492
f0d71bfb-b237-4d65-a4b2-3ad8041d29e0,2025-05-14T13:45:01.261Z,7966,118,197,14.0157834,4.179044618,2.310458199,,24,3,3,95,294
fa0199de-bc57-4cf3-94f5-1696edef7c81,2025-03-17T00:27:50.035Z,17728,28,667,14.12628296,4.295673255,3.420175571,,10,1,8,1,425
5d805824-9dcb-49ac-8d17-a9ef969ceb7b,2025-03-13T17:52:29.813Z,7835,106,679,2.698400855,4.457242096,0.692757393,,24,5,1,47,175
3e976c9f-0048-4445-928a-77dd221af871,2025-06-20T15:32:36.570Z,7489,38,347,8.617086871,8.001840092,3.679079414,,8,2,1,60,310
6944af5e-052f-47b8-97c4-52083eda99b7,2024-09-03T21:17:18.723Z,19705,112,470,10.6525746,7.940852527,3.831032632,,10,3,9,5,296
7ab18b6e-54de-4c8c-9a98-3e4f4fafd2c7,2025-04-16T22:38:26.078Z,12913,180,687,1.698484563,6.966215917,2.997455666,,22,4,10,58,65
06f5973c-b3ad-4776-838e-f809e2b12e47,2024-10-18T18:26:28.030Z,15302,19,245,11.05027124,8.978621386,1.455733753,,19,2,10,35,85
fa5795f4-d5ff-4005-90cd-055bc0579cea,2025-01-16T20:23:27.435Z,6712,124,331,6.930931093,6.020775711,3.989920133,,8,3,8,1,248
e398a81b-4140-4d95-9183-af3f7b2f841d,2025-05-14T23:48:31.854Z,10121,92,290,3.82443648,8.387957549,2.136840072,,19,5,3,62,229
aeaf2853-9110-423f-b67a-dc2b2a6a1e2d,2024-09-20T07:17:03.987Z,3214,109,273,7.07922975,7.570412062,3.119280365,,26,4,3,25,28
e00a4871-06fc-44be-adcf-3f68c5248a9c,2024-09-19T21:10:36.549Z,13528,91,449,2.572047879,6.294868286,2.547787194,,29,4,9,82,495
e8d01f10-2d64-4994-98ff-b8645fb4e79f,2024-09-14T09:41:35.046Z,9674,163,607,8.83221746,4.42920551,3.437877931,,21,1,2,8,327
2c819a00-1177-4396-8237-dc6bb09dcb13,2024-12-23T17:34:55.518Z,2536,24,579,6.036366467,7.550384644,2.983512377,,2,5,10,62,158
d045a7fa-b22f-4e1e-9524-6ef9a4b4d2b1,2025-08-20T23:12:49.380Z,9049,49,670,14.25871118,7.725628273,1.285759151,,20,4,3,89,392
93c43624-3730-44f3-a5a8-0df28393ac49,2025-02-27T05:11:16.402Z,2312,136,337,10.62270067,5.198780392,1.673308319,,8,2,1,2,467
3db238cd-773f-4539-a637-75394a12e47e,2025-04-30T06:58:12.366Z,17411,55,152,5.615122566,4.545126927,1.835895632,,22,3,10,76,203
21036570-353a-439a-a5a3-b572742482a5,2024-09-07T05:16:35.483Z,9994,38,352,4.896549965,4.995191112,0.763647276,,9,2,7,46,146
bafdb939-04db-4cc9-ae78-1cbe310db45d,2025-05-06T10:27:41.856Z,3180,104,671,13.34623495,7.979530414,3.928042596,,8,3,10,29,423
4114ec6f-b8e3-4a49-937e-e2ecc5dd141d,2025-06-03T08:45:36.662Z,8604,70,334,12.13392841,8.91979991,1.441068903,,25,1,2,83,62
0971f74e-0369-474e-8c2b-bee7894923c7,2024-12-06T18:32:32.668Z,3524,66,592,10.4133792,7.279082818,3.667100951,,8,5,6,48,24
ec9210da-030c-4e49-8b08-3d46a28fa33b,2024-09-30T01:54:20.556Z,7605,57,610,4.720193116,5.186417711,2.693302482,,7,5,5,6,243
8e40e9cb-806d-4c19-9a28-e8793f7d3993,2024-11-20T21:12:31.580Z,9349,15,439,4.222342174,4.429056021,2.747746123,,2,1,8,96,168
f86aa9cc-411d-4702-b562-b287fac01fc6,2024-12-23T08:42:25.313Z,15750,38,174,9.588732482,4.187660066,0.767836338,,28,5,6,60,384
eb135c83-09c8-4c70-aa06-2a9785560510,2025-02-23T20:27:21.528Z,10657,51,610,13.27594996,4.579308743,0.846506034,,3,3,4,59,334
d9e12a0b-859e-436d-bf56-54604a7b1846,2025-07-30T17:26:01.162Z,15903,96,296,10.62047861,5.015579583,3.545746387,,22,4,10,26,135
d1d6b9d4-14bd-486f-a838-cdd4b5520e7a,2025-01-31T14:31:41.035Z,9698,138,624,6.834827666,5.188455559,1.894637647,,4,5,5,56,63
79807941-80c3-43cd-9114-fbf08e83984a,2024-08-30T23:31:49.645Z,4580,20,542,2.192916689,8.964323377,1.203649418,,4,5,9,22,150
f70fdef3-3767-45bf-9d48-309def98355b,2025-08-27T16:00:11.624Z,11929,18,763,5.536989875,7.766640218,3.653487302,,29,4,10,45,420
f618c8d7-a4b9-4716-a676-4f84b0ae5916,2025-03-18T18:45:40.684Z,9943,113,199,6.791744774,7.139014821,0.689231255,,4,3,3,64,421
6bbe77f9-570f-4f48-8b16-bc6c4502feee,2025-07-12T18:45:14.214Z,6514,154,447,12.51534614,8.311343804,2.938215376,,3,2,2,34,84
3ff96cd9-37c3-493a-a3aa-abc5726326a3,2025-06-07T12:44:12.365Z,8975,82,630,3.696695579,4.139811062,1.979911374,,4,1,7,66,423
de1f510c-c208-449c-8936-f77760af8d5a,2025-02-08T14:15:12.431Z,2082,87,333,3.276509822,7.958858724,1.442979683,,17,3,5,26,36
e607c173-cec2-4452-94ef-6247d42348a2,2025-05-09T09:23:49.743Z,17974,54,582,10.70454893,5.261037339,1.567963451,,6,1,2,19,116
a4f3a5b9-12f3-4595-bb15-b4b256b7754d,2025-05-18T06:28:14.799Z,12008,25,346,10.37176069,4.79945694,0.517918479,,19,3,9,60,367
3d4f8442-d440-483b-810a-81cb9362f27f,2024-12-12T05:21:42.645Z,3499,27,533,14.13841838,5.114956946,0.803773756,,20,5,4,69,401
35bec3de-eeae-4979-86b8-4345ae09e6b4,2025-04-13T12:14:43.195Z,16445,35,430,6.110377299,6.866207935,2.862653171,,10,5,9,24,69
8f41fa4d-c4a3-48cb-b49a-59ce4423c96a,2024-12-07T13:16:56.114Z,8810,134,568,6.389583345,6.338519136,3.033716707,,4,1,6,55,498
89eddee8-dbcf-4051-a44b-d2b565ad2bc4,2025-01-10T22:00:37.721Z,12363,37,264,12.66465258,7.504732515,1.788235922,,26,2,3,18,222
da76bf5d-eddd-4789-8fd5-f922c4a5c437,2025-08-22T21:20:29.399Z,14540,40,395,11.26430149,7.846644292,3.130563919,,11,3,2,64,362
a513bec5-9133-420b-9efb-9352024af29f,2024-11-11T20:15:40.017Z,5747,83,424,10.94503164,6.320740112,2.807116385,,26,2,9,78,193
d69ad387-cd1c-49de-9bd1-2d1ea73553da,2025-08-28T07:15:26.122Z,16758,80,478,9.39713023,6.931055594,0.846278734,,27,5,9,75,25
395051f4-8bab-4cd0-b96d-0c5b39dfb1d7,2025-03-13T05:03:05.548Z,7333,105,322,2.556730341,8.619030238,2.091280186,,14,2,3,67,204
3b11cc8d-5b59-4c97-ab5e-b575d2247257,2025-01-13T23:22:38.799Z,10461,76,553,11.00406051,7.382855883,2.276050889,,22,1,3,35,308
4cb92285-9df7-441a-8f63-3858bf173c9f,2024-09-21T20:22:51.348Z,13341,157,749,3.940300635,5.09374734,2.922526426,,10,5,2,78,251
1a4b75f7-c81a-4414-a18e-63de0d5c2e9d,2025-08-26T19:57:34.624Z,15747,140,635,2.44555507,8.573759009,3.312668262,,14,5,1,88,487
397ba72c-8006-466e-b252-4141002613d8,2024-12-09T23:43:59.413Z,9451,111,631,13.79125961,6.12853974,2.890663962,,28,1,4,46,121
53bd2475-f2e3-4fae-90f5-b81ad657281e,2025-08-08T14:21:20.162Z,8840,122,785,12.93326262,8.201266646,1.207056984,,14,3,4,91,201
701f4360-fb9f-4182-a3cb-9b2f600275b1,2025-05-04T03:23:58.113Z,2174,24,590,2.673597112,4.254660087,0.931246911,,1,4,2,62,166
e93a337b-df0c-4944-84e8-5090e94a1bae,2024-10-11T01:24:13.867Z,18808,54,543,8.617391193,6.482046749,2.629251434,,2,4,1,87,300
c55acff9-3df1-430a-b698-19fbb318678e,2025-05-18T04:24:32.021Z,4265,23,332,2.91895975,4.08660585,2.642126055,,12,2,9,41,208
03ac524f-e67b-4560-bbdd-05d8acea38b1,2024-10-03T13:32:28.391Z,9364,10,692,3.005238333,8.367296508,3.455215143,,7,5,4,20,409
48941670-27bb-4f2a-bc52-f91975f73086,2025-02-20T00:40:06.592Z,13711,143,633,3.510524235,4.983705448,3.846163757,,20,3,5,4,106
c47b9991-b07b-497d-a93d-14c7d9c85d4c,2025-07-08T04:00:10.560Z,17966,103,755,7.166154847,6.304700109,1.503199886,,17,2,6,28,290
5fe3a550-b9e7-4049-8848-62b74aa51db7,2025-08-19T09:38:04.400Z,14849,141,629,3.417721961,4.620449538,3.299245003,,15,5,9,24,101
a7c5f255-ff46-4495-8901-fd908750e0e6,2024-12-25T08:57:45.944Z,14809,163,603,8.102567115,8.088454848,0.599690425,,28,3,10,3,319
f5eb91b8-7497-46d6-8b53-98ca7e9b72b4,2025-06-13T08:52:59.451Z,11405,19,529,14.71513355,8.708628583,2.521826883,,14,5,5,21,396
7d5a4376-bd29-48b9-ab6a-576be1925050,2024-09-04T02:53:12.532Z,16346,133,552,7.134285017,5.016957724,3.863312156,,1,5,4,15,166
1af41536-dd1d-4deb-8544-a9b8fb7019af,2025-05-16T02:53:10.077Z,5699,69,313,8.631517509,6.254995516,1.685142075,,19,4,9,19,499
4041e978-df22-44cd-96b2-91cd2f587b63,2025-01-05T19:59:38.060Z,19417,15,217,13.43290837,6.491801747,2.738640472,,20,1,5,60,60
95c71f83-04d0-44af-95dd-52b3b7c15429,2024-11-26T19:05:33.465Z,13631,91,238,12.71172358,5.638230482,2.571658673,,28,2,2,94,406
13f24056-27ab-495e-a337-c5609bd674ba,2025-07-28T22:25:27.062Z,14356,29,173,11.17548911,5.601635746,2.322279248,,29,4,4,34,112
d335b78c-7dd4-4b21-adf8-f764a9a4fcf9,2024-12-07T04:30:42.025Z,6631,180,276,13.54889628,6.33949303,2.351420082,,18,5,8,97,287
b1a3a2dc-b32d-4e29-bd4b-2eb6e788f791,2024-11-09T05:53:46.930Z,3309,17,513,6.39981928,5.381990636,2.277669274,,27,1,10,5,41
37d9de9a-b589-45d1-9dde-39583ad1be0c,2024-11-27T01:57:44.507Z,16990,120,182,13.01586725,5.958043834,3.655924851,,12,2,4,24,268
a05a86f3-1150-4355-b353-31b8c4babdf4,2025-07-16T13:16:35.187Z,8556,136,599,9.510690506,5.992846923,3.904716089,,4,3,8,22,354
5fc5fa74-deff-407c-ae6d-7c005e7201b8,2025-05-22T13:19:22.004Z,10395,66,774,8.033145544,7.838601125,2.641341462,,12,1,4,85,54
89fa3695-5650-4141-87f7-37a205f4f663,2025-02-13T06:15:35.924Z,18602,36,772,8.442846779,5.394346837,3.185798973,,21,3,3,5,133
2e4e1a3e-f76d-45a2-a8b2-745af5c3d3f8,2025-02-11T10:34:09.662Z,15614,10,694,11.20225895,7.606408493,1.427362909,,11,5,9,6,375
f0f860a1-a5b6-453f-ba15-2a02aea2b5cd,2025-06-18T13:47:19.940Z,4458,10,245,3.817481426,5.078425808,2.760630964,,4,3,6,99,320
78bf01e3-f02f-42a5-898d-54eabfdb209d,2024-10-06T01:25:08.263Z,19413,12,395,4.862596137,6.998004789,3.534026207,,15,2,9,47,92
87784b79-df10-42ea-bcb2-1f5b24935d94,2024-12-08T19:11:46.682Z,8221,41,708,5.838667559,4.720214697,2.420434741,,2,4,6,99,9
cd3531db-f69b-4bd9-aeaf-28fbefa3b5e7,2024-12-10T11:59:44.002Z,10741,60,304,10.33627821,5.262530666,1.721803476,,10,5,6,44,218
ba289835-2908-4959-9411-9d9c301d95e8,2024-10-27T10:48:10.269Z,2352,22,584,7.173072748,6.092924716,0.580619299,,18,3,5,98,312
d7797fae-afc6-46c1-b6d2-03d525b7d520,2025-03-02T04:17:06.583Z,8734,61,502,13.89920228,7.161057264,2.814594224,,21,4,6,100,263
8b666c84-9cd9-4afb-a6f5-c5294bf39478,2025-05-27T12:45:00.699Z,16624,164,719,14.5650636,5.958470028,0.58755134,,28,4,10,63,164
bb1da24d-623f-4af2-b1a1-c17169e53f1b,2025-05-02T12:12:16.249Z,3927,54,294,10.72407877,4.609376238,1.418429438,,5,2,7,33,302
2c719fca-7f5f-4fbe-9339-0ade966e94b6,2025-06-21T20:00:45.369Z,12906,84,514,10.32391119,5.039250296,0.558271781,,26,1,1,48,314
dc48f5b7-8b8e-45fb-852d-5443d3624c2a,2025-05-02T06:13:25.449Z,12009,49,760,8.676069173,6.766740771,0.50489013,,25,4,2,30,272
9c0c431f-a22e-432b-abef-a50e9cb5815a,2024-09-29T09:32:13.813Z,6360,52,151,3.102828992,8.815887712,3.437496525,,3,2,2,100,62
35bfd1ac-b62c-464c-ba10-1c18ab4acd7f,2025-07-10T19:06:49.478Z,8948,25,279,8.489268805,7.150503524,1.617043129,,8,2,7,65,117
6631471e-6874-442f-a9cf-293571ae34ab,2025-04-08T16:05:39.121Z,13445,180,464,8.873172691,7.533307452,0.625478939,,15,4,8,69,438
620061af-7d2d-4996-9064-359b6a7fcd3b,2024-12-16T04:22:52.349Z,3379,158,497,8.046564276,8.83810878,1.984042086,,29,2,4,41,2
d818aa1c-8e77-43d6-868f-c9e74ac88661,2025-03-05T17:07:53.718Z,9608,91,508,1.977927594,7.849464809,2.869498909,,22,3,10,17,407
612aad09-5f22-4f44-8d8a-4298510404a9,2025-06-21T20:04:45.067Z,5895,135,264,11.69782503,4.057596203,2.091878937,,25,5,6,96,157
833085a5-23d4-42b9-b6e1-0de86c252dc6,2025-01-25T15:13:37.991Z,10958,175,779,1.092188065,8.362864402,0.928246621,,28,4,6,73,245
1748da02-974e-40c4-8d79-ac0bddd0dff5,2024-09-07T02:47:28.944Z,11201,34,460,4.983263174,5.421499259,3.126563657,,5,3,10,16,329
d7443d01-70ce-49b6-82a7-6723004f26aa,2025-05-25T21:00:54.038Z,6670,72,435,4.194005638,4.033784116,2.628179802,,13,1,2,91,225
92a93dcd-f07c-49be-a8ec-3d7b7229a751,2024-09-02T02:41:11.459Z,6536,148,480,1.162015085,4.214438882,3.550708563,,21,5,10,20,388
3f58ae5e-caa8-42dd-8a16-16b37618e2e4,2024-10-02T05:47:24.034Z,5635,14,792,4.22846804,8.318793005,1.96702321,,24,3,1,12,265
34190b5c-a530-4b09-98e6-bf0657b702f7,2025-02-23T06:35:31.566Z,16182,125,335,12.70971098,8.45949036,1.404884121,,16,5,4,2,479
7eca18f7-58fb-4a89-8e11-549f14899420,2025-05-30T08:19:46.720Z,5524,40,301,2.960508647,5.935116887,0.603642903,,15,2,1,89,207
bb78d78b-438c-4839-a63b-15ff381b50de,2025-06-09T21:25:29.002Z,3320,39,193,10.85545768,5.759268872,1.721513583,,14,1,2,36,281
66d3923d-44a7-425b-b958-c5efb5f39499,2025-05-29T18:31:54.265Z,14761,45,788,3.792251027,8.431952287,3.630461103,,17,4,8,97,125
b10c5854-35e1-4e18-9ff0-04f15d32f49b,2025-02-18T19:25:17.576Z,2215,149,323,13.95791671,8.815313644,3.783334175,,21,4,7,86,371
da5e7971-18c8-4cc7-a17f-a8cca3ebd299,2025-08-08T13:31:38.876Z,5034,27,631,8.912118732,6.602891542,0.966403712,,19,3,9,91,91
9f507f04-1f4d-406b-9135-08b551e94a58,2024-12-29T12:44:14.376Z,11649,38,588,3.643080259,7.692425941,2.709704907,,18,4,2,97,492
5798cc35-28f2-415e-a39f-9dbd8e01b2c8,2025-06-16T23:15:03.200Z,11537,32,364,4.607481527,8.50893338,0.570172739,,27,3,1,31,201
